nodeid,year,groupid,noffences,size,tsc_haitian,tsc_yob
15225,2009,702,1,1,0,1992
15360,2001,110,4,3,1,1980
15360,2002,,,,1,1980
15360,2003,,,,1,1980
15360,2004,,,,1,1980
15360,2005,,,,1,1980
15360,2006,,,,1,1980
15360,2007,,,,1,1980
15360,2008,,,,1,1980
15360,2009,,,,1,1980
15362,2001,8,,17,1,1984
15362,2002,,,,1,1984
15362,2003,,,,1,1984
15362,2004,,,,1,1984
15362,2005,,,,1,1984
15362,2006,,,,1,1984
15362,2007,,,,1,1984
15362,2008,1872,1,1,1,1984
15362,2009,29,1,9,1,1984
15382,2001,,,,1,1986
15382,2002,,,,1,1986
15382,2003,,,,1,1986
15382,2004,228,3,2,1,1986
15382,2005,2,9,58,1,1986
15382,2006,621,3,1,1,1986
15382,2007,1565,3,1,1,1986
15382,2008,14,2,20,1,1986
15382,2009,601,4,1,1,1986
15387,2001,,,,1,1968
15387,2002,,,,1,1968
15387,2003,26,2,9,1,1968
15387,2004,356,,1,1,1968
15387,2005,,,,1,1968
15387,2006,,,,1,1968
15387,2007,,,,1,1968
15387,2008,749,,1,1,1968
15387,2009,,,,1,1968
15409,2001,2,15,35,1,1977
15409,2002,1,12,35,1,1977
15409,2003,4,4,30,1,1977
15409,2004,69,,4,1,1977
15409,2005,,,,1,1977
15409,2006,184,5,2,1,1977
15409,2007,17,13,13,1,1977
15409,2008,1658,2,1,1,1977
15409,2009,640,3,1,1,1977
15443,2001,,,,1,1962
15443,2002,,,,1,1962
15443,2003,113,,3,1,1962
15443,2004,,,,1,1962
15443,2005,,,,1,1962
15443,2006,,,,1,1962
15443,2007,,,,1,1962
15443,2008,,,,1,1962
15443,2009,1181,1,1,1,1962
15447,2001,,,,1,1989
15447,2002,,,,1,1989
15447,2003,5,,25,1,1989
15447,2004,,,,1,1989
15447,2005,2,,58,1,1989
15447,2006,120,,3,1,1989
15447,2007,23,1,11,1,1989
15447,2008,60,6,5,1,1989
15447,2009,261,,2,1,1989
15808,2001,,,,1,1990
15808,2002,,,,1,1990
15808,2003,,,,1,1990
15808,2004,,,,1,1990
15808,2005,,,,1,1990
15808,2006,,,,1,1990
15808,2007,,,,1,1990
15808,2008,461,1,1,1,1990
15808,2009,,,,1,1990
15898,2001,,,,1,1974
15898,2002,,,,1,1974
15898,2003,6,2,25,1,1974
15898,2004,,,,1,1974
15898,2005,,,,1,1974
15898,2006,,,,1,1974
15898,2007,,,,1,1974
15898,2008,,,,1,1974
15898,2009,,,,1,1974
16563,2001,,,,0,1981
16563,2002,,,,0,1981
16563,2003,,,,0,1981
16563,2004,1926,,1,0,1981
16563,2005,661,1,1,0,1981
16563,2006,,,,0,1981
16563,2007,1739,,1,0,1981
16563,2008,,,,0,1981
16563,2009,,,,0,1981
16862,2001,,,,1,1980
16862,2002,874,1,1,1,1980
16862,2003,570,1,1,1,1980
16862,2004,,,,1,1980
16862,2005,,,,1,1980
16862,2006,,,,1,1980
16862,2007,,,,1,1980
16862,2008,67,,5,1,1980
16862,2009,,,,1,1980
16880,2001,,,,0,1986
16880,2002,,,,0,1986
16880,2003,,,,0,1986
16880,2004,14,2,12,0,1986
16880,2005,1244,2,1,0,1986
16880,2006,,,,0,1986
16880,2007,648,11,1,0,1986
16880,2008,,,,0,1986
16880,2009,1568,1,1,0,1986
16884,2001,,,,0,1989
16884,2002,,,,0,1989
16884,2003,,,,0,1989
16884,2004,1847,1,1,0,1989
16884,2005,,,,0,1989
16884,2006,,,,0,1989
16884,2007,483,,1,0,1989
16884,2008,8,6,33,0,1989
16884,2009,1478,1,1,0,1989
17421,2001,,,,0,1984
17421,2002,,,,0,1984
17421,2003,1401,2,1,0,1984
17421,2004,,,,0,1984
17421,2005,3,3,51,0,1984
17421,2006,1674,3,1,0,1984
17421,2007,241,3,2,0,1984
17421,2008,,,,0,1984
17421,2009,,,,0,1984
17700,2001,,,,0,1963
17700,2002,,,,0,1963
17700,2003,,,,0,1963
17700,2004,,,,0,1963
17700,2005,1919,1,1,0,1963
17700,2006,2192,1,1,0,1963
17700,2007,1677,1,1,0,1963
17700,2008,,,,0,1963
17700,2009,1069,2,1,0,1963
18010,2001,307,,1,0,1979
18010,2002,,,,0,1979
18010,2003,,,,0,1979
