SPECIMEN;SERVPOL;SAISIE;masse_coca;masse_hero;masse_divers;Type;EMBALLAGE;masse_ech;masse_specimen;DESCRIPTION;PURETE;STUP;COUPAGE;CLASSE;1.4_dmt;acide.4-aminobenzoique;acide.abietique;acide.acetylsalicylique;acide.ascorbique;acide.citrique;acide.isopimarique;acide.palmitique;acide.salicylique;acide.stearique;acides.gras;benzocaine;bicarbonate.sodium;butylbromure.scopolamine;cafeine;chlorprothixene;creatine;creatinine;dextromethorphane;diazepam;diethylphtalate;diltiazem;escitalopram;fluoxetine;fructose;glucose;glutamine;glycerol;griseofulvine;hydroxyzine;ibuprofen;inositol;ketamine;lactose;levamisol;lidocaine;mannitol;melatonine;methandrostenolone;metoprolol;nicotinamide;paracetamol;phenacetine;phenobarbital;piracetam;procaine;sorbitol;sucres;sucrose;tetracaine;tramadol;vanilline
426_10.13_1_1;01;426_10.13;100.8;NA;NA;cocaine;cylindre;9.8;NA;1_er_cylindre_echantillonne_par_l'id_parmi_les_10_cylindres_susmentionnes;46.2;cocaine;phenacetine glucose levamisol procaine lactose;C02001688000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
426_10.13_1_2;01;426_10.13;100.8;NA;NA;cocaine;cylindre;10.8;NA;2_eme_cylindre_echantillonne_par_l'id_parmi_les_10_cylindres_susmentionnes;35.2;cocaine;phenacetine glucose levamisol procaine lactose;C02001688000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
426_10.13_1_3;01;426_10.13;100.8;NA;NA;cocaine;cylindre;9.8;NA;3_eme_cylindre_echantillonne_par_l'id_parmi_les_10_cylindres_susmentionnes;40.2;cocaine;phenacetine glucose levamisol procaine lactose;C02001688000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
426_10.13_1_4;01;426_10.13;100.8;NA;NA;cocaine;cylindre;9.9;NA;4_eme_cylindre_echantillonne_par_l'id_parmi_les_10_cylindres_susmentionnes;36.8;cocaine;phenacetine glucose levamisol procaine lactose;C02001688000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
427_10.13_1_;03;427_10.13;10.05;10;44.47;plusieurs;minigrip;6.79;10.05;poudre_blanche;67.7;cocaine;phenacetine levamisol;C02001693000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
427_10.13_2_;03;427_10.13;10.05;10;44.47;plusieurs;minigrip;3.67;10.01;poudre_beige;10.8;heroine;paracetamol cafeine;H02000395000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
427_10.13_3_;03;427_10.13;10.05;10;44.47;plusieurs;sachet_autre;17.63;44.47;poudre_beige;NA;aucun;paracetamol cafeine;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
434_10.13_1_1;01;434_10.13;380.3;NA;NA;cocaine;cylindre;9.6;9.6;1er_cylindre_echantillonne_par_l'esc_parmi_les_5_cylindres_susmentionnes;52.2;cocaine;phenacetine lidocaine cafeine glucose mannitol levamisol procaine lactose;C02001564000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
434_10.13_1_2;01;434_10.13;380.3;NA;NA;cocaine;cylindre;9.7;9.7;2eme_cylindre_echantillonne_par_l'esc_parmi_les_5_cylindres_susmentionnes;50.7;cocaine;phenacetine lidocaine cafeine glucose levamisol procaine lactose;C02001564000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
434_10.13_1_3;01;434_10.13;380.3;NA;NA;cocaine;cylindre;9.5;9.5;3eme_cylindre_echantillonne_par_l'esc_parmi_les_5_cylindres_susmentionnes;51.5;cocaine;phenacetine lidocaine cafeine glucose levamisol procaine lactose;C02001564000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
